,Date,Favourites,Retweets,Timezone,Compound,Positive,Neutral,Negative,Physical Health,Learning and Career,Mental Wellbeing,Finances,Relationships,Travel and Holidays,Five or more favourites
135,Tue Jan 03 09:01:32 +0000 2017,1,1,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,0,1,0,0,0,0,0
136,Tue Jan 03 09:01:25 +0000 2017,0,0,,0.0,0.175,0.649,0.175,1,0,0,0,0,0,0
137,Tue Jan 03 09:01:11 +0000 2017,0,0,,0.6581,0.173,0.827,0.0,0,0,0,0,0,0,0
138,Tue Jan 03 09:01:11 +0000 2017,0,0,,0.0,0.175,0.649,0.175,1,0,0,0,0,0,0
139,Tue Jan 03 09:01:08 +0000 2017,0,0,,-0.1761,0.0,0.842,0.158,0,0,0,0,0,0,0
140,Tue Jan 03 09:01:04 +0000 2017,0,0,,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0
141,Tue Jan 03 09:00:37 +0000 2017,0,0,,0.5574,0.219,0.781,0.0,1,0,0,0,0,0,0
142,Tue Jan 03 09:00:23 +0000 2017,0,0,,-0.5423,0.0,0.811,0.189,0,0,0,0,0,0,0
143,Tue Jan 03 09:00:22 +0000 2017,0,0,Dublin,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0
144,Tue Jan 03 09:00:14 +0000 2017,0,0,Central Time (US & Canada),0.5574,0.247,0.753,0.0,0,0,1,0,0,0,0
145,Tue Jan 03 09:00:10 +0000 2017,0,0,Pacific Time (US & Canada),0.3818,0.148,0.852,0.0,1,0,0,0,0,0,0
146,Tue Jan 03 09:00:08 +0000 2017,0,0,,0.6342,0.292,0.552,0.156,0,0,1,0,0,0,0
147,Tue Jan 03 08:59:45 +0000 2017,0,0,Central Time (US & Canada),0.0,0.175,0.649,0.175,1,0,0,0,0,0,0
148,Tue Jan 03 08:59:44 +0000 2017,0,0,Central Time (US & Canada),0.0,0.175,0.649,0.175,1,0,0,0,0,0,0
149,Tue Jan 03 08:59:44 +0000 2017,0,0,Central Time (US & Canada),0.0,0.175,0.649,0.175,1,0,0,0,0,0,0
150,Tue Jan 03 08:58:55 +0000 2017,0,0,Beijing,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
151,Tue Jan 03 08:58:50 +0000 2017,0,0,,0.3612,0.152,0.848,0.0,0,0,0,0,0,0,0
152,Tue Jan 03 08:58:49 +0000 2017,0,0,Dublin,0.4215,0.113,0.887,0.0,0,0,0,0,0,0,0
153,Tue Jan 03 08:58:33 +0000 2017,0,0,Pacific Time (US & Canada),0.6369,0.366,0.634,0.0,0,0,0,0,1,0,0
154,Tue Jan 03 08:58:26 +0000 2017,0,0,,-0.5859,0.0,0.858,0.142,1,0,0,0,0,0,0
155,Tue Jan 03 08:58:13 +0000 2017,3,0,Amsterdam,-0.5095,0.0,0.798,0.202,0,0,0,0,0,0,0
156,Tue Jan 03 08:58:04 +0000 2017,0,0,Perth,-0.1779,0.0,0.876,0.124,0,0,0,0,0,0,0
